project_id,sprint_velocity,scope_changes,team_load,on_time
1,345.24,420.9,65.59,1
2,239.47,280.68,38.74,0
3,422.2,326.39,217.44,1
4,176.76,46.01,78.46,0
5,202.97,297.89,196.39,0
6,86.66,15.08,52.67,0
7,220.32,297.11,236.97,0
8,365.91,22.35,407.12,0
9,152.53,71.14,496.93,0
10,175.17,197.76,395.8,0
11,101.91,422.45,281.46,1
12,246.44,226.29,424.56,1
13,474.88,81.79,294.11,1
14,480.98,432.3,424.99,1
15,279.48,353.33,263.9,1
16,326.07,272.22,120.24,0
17,44.81,373.48,73.29,0
18,133.14,415.12,449.64,1
19,281.37,456.58,423.74,1
20,251.62,377.34,130.29,0
21,179.78,407.98,448.58,1
22,400.32,328.5,286.99,1
23,480.12,348.05,109.07,1
24,298.58,72.01,60.62,0
25,268.08,107.86,375.19,0
26,344.51,438.88,495.33,1
27,126.05,16.54,293.96,0
28,450.99,46.03,185.2,0
29,430.31,282.22,104.68,1
30,378.09,257.78,398.08,1
31,44.35,179.43,295.03,0
32,387.73,158.89,377.21,1
33,488.72,368.36,191.31,1
34,251.96,260.83,352.89,1
35,106.86,106.47,107.05,0
36,332.8,22.88,480.1,1
37,313.42,89.15,407.75,1
38,111.64,460.59,202.63,0
39,469.01,145.92,116.96,0
40,297.97,483.5,323.25,1
41,175.25,353.89,80.16,0
42,83.69,292.06,498.73,1
43,352.19,162.34,176.77,0
44,20.27,216.62,132.48,0
45,339.31,66.87,180.24,0
46,90.38,401.01,133.56,0
47,314.21,489.25,466.45,1
48,85.71,142.04,471.9,0
49,157.38,48.01,51.15,0
50,325.83,81.73,97.45,0
51,308.42,491.36,42.4,1
52,383.64,409.71,450.69,1
53,301.76,259.26,337.61,1
54,109.93,422.99,284.48,1
55,447.75,395.8,356.26,1
56,136.3,60.98,250.66,0
57,305.88,464.92,145.46,1
58,139.04,446.72,192.54,0
59,106.39,198.96,231.97,0
60,345.94,52.79,249.21,0
61,218.44,388.39,460.32,1
62,91.82,214.24,498.07,1
63,233.68,250.74,348.91,1
64,370.28,320.48,243.73,1
65,43.58,170.48,372.08,0
66,423.8,336.89,424.22,1
67,370.08,420.28,169.02,1
68,136.06,74.9,248.55,0
69,409.8,367.34,298.21,1
70,389.7,321.76,236.98,1
71,428.33,318.13,397.43,1
72,422.09,153.41,495.1,1
73,51.7,63.37,429.07,0
74,378.41,243.61,481.48,1
75,329.6,417.07,444.29,1
76,350.02,143.65,58.76,0
77,83.49,155.34,101.46,0
78,124.88,299.95,384.23,1
79,31.96,229.69,457.08,0
80,398.24,108.17,494.38,1
81,350.08,287.78,140.14,0
82,401.49,339.92,373.31,1
83,453.66,336.62,468.68,1
84,163.47,27.24,351.12,0
85,57.87,147.79,102.14,0
86,223.6,30.88,177.1,0
87,437.56,350.44,325.26,1
88,336.44,307.22,124.56,0
89,384.78,114.26,350.85,1
90,358.58,110.12,385.54,1
91,17.29,304.79,494.41,1
92,394.1,311.04,482.2,1
93,244.77,67.36,380.29,0
94,434.77,108.13,106.88,0
95,21.85,386.82,450.12,1
96,190.81,171.69,355.8,0
97,337.42,404.24,341.98,1
98,137.74,328.88,339.12,1
99,327.88,427.05,156.74,1
100,149.28,19.85,451.59,0
101,468.81,334.54,215.58,1
102,344.91,10.1,407.22,0
103,202.45,310.78,279.75,0
104,142.9,31.03,357.91,0
105,42.14,298.71,213.08,0
106,273.94,380.46,437.1,1
107,230.32,402.59,369.76,1
108,52.33,480.41,77.4,0
109,358.93,70.85,410.87,1
110,277.57,117.75,62.59,0
111,121.55,49.15,196.05,0
112,73.42,189.0,363.5,0
113,464.23,261.29,468.13,1
114,177.31,137.62,347.2,0
115,131.23,164.8,243.92,0
116,308.32,35.31,271.75,0
117,120.02,372.4,259.77,0
118,205.44,131.87,487.21,1
119,275.3,397.89,220.19,1
120,169.54,468.51,71.23,0
121,284.68,92.5,351.52,0
122,467.61,398.38,179.48,1
123,91.29,191.43,111.98,0
124,123.47,450.75,317.02,1
125,257.22,371.91,441.83,1
126,463.33,392.9,284.72,1
127,73.25,473.92,126.04,0
128,317.17,189.77,199.12,0
129,380.63,494.34,137.68,1
130,177.4,219.7,25.67,0
131,415.09,258.36,10.04,0
132,445.76,43.91,179.17,0
133,459.65,48.45,62.87,0
134,464.57,473.91,58.02,1
135,202.81,114.25,404.01,0
136,108.41,83.96,417.09,0
137,328.28,366.64,321.09,1
138,41.54,325.61,135.61,0
139,262.84,312.26,184.82,0
140,244.53,291.32,101.91,0
141,158.13,209.56,113.25,0
142,105.36,421.31,373.24,1
143,406.28,249.53,144.57,1
144,473.17,98.1,214.69,0
145,372.35,34.93,281.89,0
146,478.78,128.98,309.54,1
147,482.51,453.32,215.84,1
148,96.65,116.26,413.88,0
149,122.8,58.95,78.31,0
150,410.18,154.18,445.83,1
151,75.78,100.64,474.03,0
152,476.41,297.81,14.2,0
153,154.21,378.17,256.28,0
154,366.79,139.87,213.31,0
155,82.12,75.53,187.55,0
156,162.06,443.93,236.46,1
157,473.92,64.84,283.71,1
158,114.64,311.42,341.83,0
159,119.94,242.23,183.22,0
160,329.51,59.27,414.76,1
161,15.75,312.1,239.76,0
162,304.14,383.83,69.44,0
163,134.83,423.0,284.0,1
164,494.05,160.36,369.62,1
165,128.98,401.86,336.79,1
166,303.75,420.15,294.5,1
167,38.6,421.88,495.03,1
168,490.32,43.53,455.0,1
169,263.73,58.75,146.65,0
170,470.05,388.91,58.05,1
171,457.09,196.44,343.67,1
172,37.1,191.61,47.66,0
173,113.83,486.33,497.4,1
174,76.71,309.35,26.58,0
175,53.71,345.77,243.18,0
176,379.46,148.31,434.17,1
177,290.8,374.37,214.36,1
178,223.05,321.58,353.25,1
179,289.79,345.34,241.08,1
180,343.26,23.75,398.76,0
181,50.91,256.02,238.03,0
182,174.08,59.9,268.73,0
183,400.02,276.36,435.43,1
184,300.39,129.23,346.91,0
185,99.29,189.21,119.09,0
186,61.68,174.14,144.94,0
187,53.44,288.4,108.6,0
188,196.95,70.37,16.1,0
189,271.72,146.46,243.61,0
190,69.44,234.77,428.09,0
191,51.84,251.88,21.44,0
192,273.5,445.4,90.94,1
193,377.05,495.41,261.18,1
194,79.22,317.0,41.52,0
195,326.45,33.8,219.13,0
196,156.62,148.36,185.44,0
197,401.12,251.69,36.97,0
198,356.59,17.35,182.18,0
199,28.97,211.33,273.93,0
200,45.3,128.02,59.38,0
201,64.08,365.87,85.92,0
202,189.23,242.95,396.32,1
203,289.26,423.95,448.81,1
204,77.85,442.39,21.74,0
205,387.38,244.51,14.11,0
206,210.32,408.41,305.01,1
207,321.64,474.06,398.29,1
208,11.34,159.12,91.67,0
209,39.85,354.89,476.46,1
