team_size,budget,complexity,client_importance,duration_days,success
8,269521.0567586678,5,3,218,1
5,688298.106418792,4,4,184,0
9,68725.01086664594,1,4,84,0
6,148903.15288534516,5,4,211,1
8,809920.2811045299,2,5,239,0
4,219617.42895161692,2,4,104,0
8,670108.8024592809,1,1,306,0
9,276273.6419943902,4,4,162,1
6,144469.3231213779,5,5,88,1
5,281013.58144948137,3,4,211,1
9,736153.5852628762,1,3,350,0
9,862911.6447009714,4,3,93,1
4,838708.871338642,3,5,356,1
7,427324.3531375321,2,1,289,0
6,684680.8797421139,2,1,222,0
3,244735.08064502993,3,2,172,0
9,328490.3437479626,1,5,133,1
7,901519.0275950638,2,4,243,0
3,62351.82733519923,5,5,271,1
6,131233.10431174468,3,2,238,0
2,247491.94238872596,3,5,122,0
7,75205.59368012873,2,5,171,0
10,222363.66333530744,1,2,141,0
2,603889.4829212076,5,1,88,0
4,450353.32306287304,1,4,72,0
8,898038.1255231261,4,2,236,0
5,826571.3836515188,4,3,297,1
10,374726.4841129822,2,1,325,0
4,296452.26175972784,2,3,147,0
6,410707.7877589036,2,1,49,0
4,610780.1953890674,4,4,251,0
8,304660.4587817325,1,4,195,1
6,642941.4624566773,1,5,160,0
10,438941.0695816784,2,3,185,1
8,574444.8218093812,5,1,213,1
3,464320.20267855085,1,4,119,0
5,329742.4715648218,4,2,123,1
10,951030.6416140489,3,4,42,1
3,775425.5044517728,3,2,351,0
10,183107.51697812992,3,1,322,0
6,875044.5771030171,5,4,259,1
3,513059.63833703793,2,4,351,0
5,899824.6155493868,4,1,321,0
8,809862.4931499495,5,4,55,1
9,453952.8292457718,4,2,104,1
4,71345.84290411153,4,4,328,0
2,305243.4914156988,2,3,179,0
5,564552.5039278236,3,5,177,0
3,651804.30883484,2,2,37,0
9,294993.3011615422,5,3,58,1
5,182388.27036918292,5,1,325,0
3,843183.7249593341,5,2,238,0
7,985182.0716683745,2,5,157,1
7,549405.6731875516,4,5,145,0
5,213095.3215558883,4,1,173,0
7,308691.9601934005,1,1,347,0
3,67471.1427200934,5,2,264,0
3,918583.8662324741,4,4,36,1
5,161863.52874563407,1,1,74,0
9,597690.6517385409,4,4,268,1
8,310352.4596528457,5,3,184,1
10,576469.1023900037,3,5,210,1
9,668849.368934271,5,4,244,1
6,838254.7135218416,2,5,117,0
3,246100.20817257304,4,4,285,0
6,60446.03722555646,4,3,102,1
9,180041.3485653669,2,1,208,0
10,905017.7097556998,2,3,241,0
10,880195.5736843895,3,1,322,0
2,617542.4470617928,4,1,263,0
10,620491.0174119706,4,5,268,1
8,681784.8408189428,3,3,252,0
10,216602.7146922771,1,4,148,0
9,918691.3486287118,3,3,342,0
2,447831.99864746945,5,5,293,0
9,413981.6018370226,4,1,236,0
9,542971.8200186957,2,5,124,0
4,94617.6684363023,5,2,251,1
2,207969.20031827543,4,2,305,0
9,751131.9356050519,3,4,260,1
4,128658.73452887015,5,5,338,0
4,622994.5039930688,4,4,148,0
2,283081.6541972549,1,4,297,0
6,419830.8333398777,1,2,302,0
8,324259.0499321649,2,4,93,1
10,387889.0806417017,4,2,327,1
8,733093.6099250332,1,1,40,0
10,332265.62984201626,3,5,127,1
9,588084.4082820524,4,4,100,1
3,502247.88208914467,3,2,87,1
2,680487.6070945157,3,3,319,0
8,939988.25235852,1,4,280,1
8,745943.4923497378,4,1,305,0
9,254193.3596612189,5,1,79,1
6,79623.97830822044,1,3,245,0
4,299150.8420848338,1,2,81,0
9,615324.0341652421,4,4,300,0
7,98854.52281003783,4,2,113,1
4,521547.9348411745,3,1,322,0
2,617000.7064710448,4,2,155,0
